date,date_key,department_id,region_id,revenue,opex,capex,headcount,profit,budget,forecast,year,quarter,month,month_name,year_month,department_name,cost_center,region_name,profit_margin,revenue_variance,forecast_accuracy
2021-01-01,20210101,1,1,970060.93,766486.72,159012.04,61,44562.18,936692.64,956712.68,2021,Q1,1,January,2021-01,Engineering,CC1001,North America,4.59,3.56,98.62
2021-01-01,20210101,1,2,728637.07,563407.85,113716.13,52,51513.09,693705.08,742332.82,2021,Q1,1,January,2021-01,Engineering,CC1001,Europe,7.07,5.04,98.12
2021-01-01,20210101,1,3,831397.99,534146.46,108837.89,42,188413.64,815122.73,832221.29,2021,Q1,1,January,2021-01,Engineering,CC1001,Asia Pacific,22.66,2.0,99.9
2021-01-01,20210101,1,4,575995.1,379146.37,90264.87,32,106583.86,564022.73,572916.1,2021,Q1,1,January,2021-01,Engineering,CC1001,Latin America,18.5,2.12,99.47
2021-01-01,20210101,2,1,1492073.34,1129552.03,65641.49,36,296879.82,1505862.28,1465004.17,2021,Q1,1,January,2021-01,Sales,CC1002,North America,19.9,-0.92,98.19
2021-01-01,20210101,2,2,1300651.95,824749.68,53718.27,32,422184.01,1361214.48,1316696.66,2021,Q1,1,January,2021-01,Sales,CC1002,Europe,32.46,-4.45,98.77
2021-01-01,20210101,2,3,1067529.6,661371.34,57309.96,26,348848.3,1027181.07,1067323.65,2021,Q1,1,January,2021-01,Sales,CC1002,Asia Pacific,32.68,3.93,99.98
2021-01-01,20210101,2,4,758799.2,593277.84,34279.21,21,131242.15,744511.85,759408.31,2021,Q1,1,January,2021-01,Sales,CC1002,Latin America,17.3,1.92,99.92
2021-01-01,20210101,3,1,766593.89,488297.99,91058.62,25,187237.28,800285.61,778700.78,2021,Q1,1,January,2021-01,Marketing,CC1003,North America,24.42,-4.21,98.42
2021-01-01,20210101,3,2,648503.1,508669.52,54175.75,18,85657.83,619010.94,643972.14,2021,Q1,1,January,2021-01,Marketing,CC1003,Europe,13.21,4.76,99.3
2021-01-01,20210101,3,3,548064.01,358581.73,62013.17,17,127469.11,536057.82,549000.01,2021,Q1,1,January,2021-01,Marketing,CC1003,Asia Pacific,23.26,2.24,99.83
2021-01-01,20210101,3,4,393494.27,299228.55,32652.95,15,61612.77,404206.95,388752.13,2021,Q1,1,January,2021-01,Marketing,CC1003,Latin America,15.66,-2.65,98.79
2021-01-01,20210101,4,1,429234.94,327545.87,55770.13,31,45918.94,440878.82,421921.55,2021,Q1,1,January,2021-01,Operations,CC1004,North America,10.7,-2.64,98.3
2021-01-01,20210101,4,2,402166.68,250619.74,55269.35,25,96277.59,395365.96,395145.79,2021,Q1,1,January,2021-01,Operations,CC1004,Europe,23.94,1.72,98.25
2021-01-01,20210101,4,3,356565.4,237129.06,46717.59,23,72718.75,370372.06,356169.11,2021,Q1,1,January,2021-01,Operations,CC1004,Asia Pacific,20.39,-3.73,99.89
2021-01-01,20210101,4,4,260448.21,193421.59,34513.99,17,32512.63,267505.5,260383.58,2021,Q1,1,January,2021-01,Operations,CC1004,Latin America,12.48,-2.64,99.98
2021-01-01,20210101,5,1,253718.6,173926.18,6166.64,16,73625.78,241830.09,255103.0,2021,Q1,1,January,2021-01,Finance,CC1005,North America,29.02,4.92,99.45
2021-01-01,20210101,5,2,198304.43,139153.02,6919.0,14,52232.41,196527.28,200331.5,2021,Q1,1,January,2021-01,Finance,CC1005,Europe,26.34,0.9,98.98
2021-01-01,20210101,5,3,173622.86,106846.81,4770.64,12,62005.41,181083.39,175762.73,2021,Q1,1,January,2021-01,Finance,CC1005,Asia Pacific,35.71,-4.12,98.77
2021-01-01,20210101,5,4,152883.11,118376.18,5143.61,9,29363.31,158884.67,153123.7,2021,Q1,1,January,2021-01,Finance,CC1005,Latin America,19.21,-3.78,99.84
2021-01-01,20210101,6,1,206431.86,160855.47,3828.08,11,41748.31,200815.57,205829.97,2021,Q1,1,January,2021-01,HR,CC1006,North America,20.22,2.8,99.71
2021-01-01,20210101,6,2,172526.2,133215.43,2770.01,10,36540.75,171101.32,170608.45,2021,Q1,1,January,2021-01,HR,CC1006,Europe,21.18,0.83,98.89
